Datum,app_opens,swipes_likes,swipes_passes,superlikes,matches,messages_sent,messages_received,advertising_id,idfa,total_swipes
2022-07-11,27,52,37,0,1,0,0,,,89
2022-07-12,36,400,202,2,3,0,0,,,602
2022-07-13,27,261,111,0,0,0,0,,,372
2022-07-14,19,179,144,0,0,0,0,,,323
2022-07-15,12,65,32,1,0,0,0,,,97
2022-07-16,13,102,78,0,1,0,0,,,180
2022-07-17,5,267,139,0,0,0,0,,,406
2022-07-18,10,185,118,0,0,0,0,,,303
2022-07-19,4,168,87,1,0,0,0,,,255
2022-07-20,22,405,226,0,0,0,0,,,631
2022-07-21,5,132,74,0,0,0,0,,,206
2022-07-22,28,199,120,0,1,1,0,,,319
2022-07-23,13,33,12,0,0,0,0,,,45
2022-07-24,12,129,54,0,0,0,0,,,183
2022-07-25,14,164,100,1,0,0,0,,,264
2022-07-26,4,5,8,0,0,0,0,,,13
2022-07-27,8,90,77,0,0,0,0,,,167
2022-07-28,4,117,75,0,0,0,0,,,192
2022-07-29,4,7,3,0,0,0,0,,,10
2022-07-30,15,84,53,1,0,0,0,,,137
2022-07-31,25,204,168,0,0,0,0,,,372
2022-08-01,17,235,271,0,1,0,0,,,506
2022-08-02,4,37,40,0,0,0,0,,,77
2022-08-03,10,64,89,0,0,0,0,,,153
2022-08-04,17,737,602,0,0,0,0,,,1339
2022-08-05,10,114,83,0,0,0,0,,,197
2022-08-06,17,390,420,1,0,0,0,,,810
2022-08-07,5,62,63,0,0,0,0,,,125
2022-08-08,5,62,60,1,0,0,0,,,122
2022-08-09,5,18,19,0,0,0,0,,,37
2022-08-10,5,43,46,0,0,0,0,,,89
2022-08-11,2,20,14,0,0,0,0,,,34
2022-08-12,3,20,11,0,0,0,0,,,31
2022-08-13,6,42,15,0,0,0,0,,,57
2022-08-14,2,43,27,0,0,0,0,,,70
2022-08-15,2,2,0,0,0,0,0,,,2
2022-08-17,3,20,9,0,0,0,0,,,29
2022-08-18,6,41,26,0,1,0,0,,,67
2022-08-19,1,10,8,0,0,0,0,,,18
2022-08-21,6,101,63,1,0,0,0,,,164
2022-08-22,6,50,39,0,0,0,0,,,89
2022-08-23,3,6,2,0,0,0,0,,,8
2022-08-24,2,19,17,0,0,0,0,,,36
2022-08-25,10,41,35,0,1,0,0,,,76
2022-08-26,11,85,75,0,0,0,0,,,160
2022-08-27,8,38,25,0,0,0,0,,,63
2022-08-28,27,56,40,0,1,0,0,,,96
2022-08-29,51,65,71,1,0,14,15,,,136
2022-08-30,19,55,38,0,0,4,3,,,93
2022-08-31,23,96,74,0,0,2,3,,,170
2022-09-01,45,79,33,0,0,12,18,,,112
2022-09-02,11,52,20,0,0,0,0,,,72
2022-09-03,28,32,25,0,1,1,0,,,57
2022-09-04,8,26,13,0,0,0,0,,,39
2022-09-05,16,45,21,0,0,0,0,,,66
2022-09-06,9,68,37,0,0,0,0,,,105
2022-09-07,8,51,34,0,0,0,0,,,85
2022-09-08,8,50,25,0,0,0,0,,,75
2022-09-09,23,52,25,0,0,0,0,,,77
2022-09-10,15,81,44,0,1,0,0,,,125
2022-09-11,23,51,40,0,0,0,0,,,91
2022-09-12,9,80,99,0,1,0,0,,,179
2022-09-13,10,53,54,0,0,0,0,,,107
2022-09-14,18,42,21,0,2,0,0,,,63
2022-09-15,26,60,22,0,0,1,0,,,82
2022-09-16,10,43,26,0,0,0,0,,,69
2022-09-17,14,33,10,0,0,0,0,,,43
2022-09-18,10,20,16,0,0,0,0,,,36
2022-09-19,17,51,28,0,0,0,0,,,79
2022-09-20,11,11,3,0,0,0,0,,,14
2022-09-21,9,41,20,0,0,0,0,,,61
2022-09-22,7,20,6,0,0,0,0,,,26
2022-09-23,5,19,8,0,0,0,0,,,27
2022-09-24,14,43,26,0,1,1,0,,,69
2022-09-25,3,15,8,0,0,0,0,,,23
2022-09-26,13,53,21,0,0,0,0,,,74
2022-09-27,12,25,12,0,0,0,0,,,37
2022-09-28,14,39,14,0,0,0,0,,,53
2022-09-29,8,19,11,0,0,0,0,,,30
2022-09-30,16,48,22,0,0,0,0,,,70
2022-10-01,29,52,18,0,1,1,0,,,70
2022-10-02,28,51,25,0,0,3,3,,,76
2022-10-03,16,51,39,0,0,0,0,,,90
2022-10-04,24,51,38,0,0,1,0,,,89
2022-10-05,21,68,48,0,0,0,0,,,116
2022-10-06,17,51,30,0,0,0,0,,,81
2022-10-07,12,39,10,0,0,0,0,,,49
2022-10-08,16,24,12,0,0,0,0,,,36
2022-10-09,15,51,29,0,0,0,0,,,80
2022-10-10,18,50,13,0,0,0,0,,,63
2022-10-11,27,38,14,0,1,1,1,,,52
2022-10-12,9,5,1,0,0,0,0,,,6
2022-10-13,19,56,28,0,0,0,0,,,84
2022-10-14,19,57,24,0,1,0,0,,,81
2022-10-15,20,52,26,0,0,0,0,,,78
2022-10-16,17,37,8,0,0,0,0,,,45
2022-10-17,14,50,14,0,0,0,0,,,64
2022-10-18,29,52,30,0,1,2,0,,,82
2022-10-19,21,57,15,0,0,1,0,,,72
2022-10-20,16,31,5,0,0,0,0,,,36
2022-10-21,20,49,9,0,0,0,0,,,58
2022-10-22,15,5,6,0,0,3,4,,,11
2022-10-23,8,14,7,0,0,0,0,,,21
2022-10-24,18,51,18,0,0,0,0,,,69
2022-10-25,11,16,2,0,0,0,0,,,18
2022-10-26,9,14,4,0,1,0,0,,,18
2022-10-27,9,18,12,0,0,0,0,,,30
2022-10-28,10,58,102,0,0,0,0,,,160
2022-10-29,20,58,37,0,0,1,0,,,95
2022-10-30,18,53,55,0,0,0,0,,,108
2022-10-31,18,52,53,0,0,0,0,,,105
2022-11-01,17,64,68,0,0,0,0,,,132
2022-11-02,25,103,102,0,1,0,0,,,205
2022-11-03,19,56,73,0,0,0,0,,,129
2022-11-04,17,60,78,0,0,0,0,,,138
2022-11-05,8,51,33,0,0,0,0,,,84
2022-11-06,7,33,29,0,1,0,0,,,62
2022-11-07,28,52,84,0,0,1,0,,,136
2022-11-08,15,52,64,0,0,0,0,,,116
2022-11-09,33,104,119,0,1,2,0,,,223
