Datum,app_opens,swipes_likes,swipes_passes,superlikes,matches,messages_sent,messages_received,advertising_id,idfa,total_swipes
2022-07-11,139,1326,743,3,5,0,0,,,2069
2022-07-18,94,1251,691,1,1,1,0,,,1942
2022-07-25,74,671,484,2,0,0,0,,,1155
2022-08-01,80,1639,1568,1,1,0,0,,,3207
2022-08-08,28,248,192,1,0,0,0,,,440
2022-08-15,18,174,106,1,1,0,0,,,280
2022-08-22,67,295,233,0,2,0,0,,,528
2022-08-29,185,405,274,1,1,33,39,,,679
2022-09-05,102,398,226,0,1,0,0,,,624
2022-09-12,97,331,248,0,3,1,0,,,579
2022-09-19,66,200,99,0,1,1,0,,,299
2022-09-26,120,287,123,0,1,4,3,,,410
2022-10-03,121,335,206,0,0,1,0,,,541
2022-10-10,129,295,114,0,2,1,1,,,409
2022-10-17,123,258,86,0,1,6,4,,,344
2022-10-24,95,268,230,0,1,1,0,,,498
2022-10-31,111,419,436,0,2,0,0,,,855
2022-11-07,168,438,485,0,1,5,1,,,923
2022-11-14,213,463,712,0,1,24,32,,,1175
2022-11-21,79,348,629,0,0,0,0,,,977
2022-11-28,148,390,590,0,2,2,1,,,980
2022-12-05,137,511,757,0,0,0,0,,,1268
2022-12-12,119,339,630,0,1,1,0,,,969
2022-12-19,58,221,299,0,1,0,0,,,520
2022-12-26,64,260,192,0,1,0,0,,,452
2023-01-02,96,291,276,0,0,1,0,,,567
2023-01-09,102,384,473,0,2,0,0,,,857
2023-01-16,88,322,362,0,1,1,0,,,684
2023-01-23,64,110,135,0,1,0,0,,,245
2023-01-30,117,163,137,0,1,1,0,,,300
2023-02-06,105,326,392,0,0,0,0,,,718
2023-02-13,114,245,260,0,1,1,0,,,505
2023-02-20,122,316,469,0,0,0,0,,,785
2023-02-27,131,282,435,0,0,0,0,,,717
2023-03-06,226,1448,1603,5,2,8,6,,,3051
2023-03-13,150,1194,1722,2,0,0,0,,,2916
2023-03-20,138,894,1895,2,0,0,0,,,2789
2023-03-27,67,334,438,0,0,0,0,,,772
2023-04-03,73,376,512,1,0,0,0,,,888
2023-04-10,335,2224,4221,4,7,21,19,,,6445
2023-04-17,402,1754,2507,2,5,46,39,,,4261
2023-04-24,235,1202,2181,4,4,15,8,,,3383
2023-05-01,150,1000,1872,1,3,12,19,,,2872
2023-05-08,99,466,468,1,2,4,8,,,934
2023-05-15,78,488,539,5,3,5,4,,,1027
2023-05-22,33,208,283,1,0,0,4,,,491
2023-05-29,82,499,730,0,6,2,0,,,1229
2023-06-05,63,285,221,0,4,6,2,,,506
2023-06-12,142,1095,1015,4,2,3,3,,,2110
2023-06-19,229,748,1037,3,2,17,9,,,1785
2023-06-26,172,592,872,2,2,16,15,,,1464
2023-07-03,105,341,1202,4,2,9,9,,,1543
